solo,duo,seed,dt,score_for_solo,final_tick
v0_expansion,v1_knapsack,1000,16,1.0,4000
v1_knapsack,v0_expansion,1001,16,0.0,4000
v0_expansion,v1_knapsack,1002,16,1.0,4000
v1_knapsack,v0_expansion,1003,16,0.0,1439
v0_expansion,v1_knapsack_hybrid,1004,16,1.0,4000
v1_knapsack_hybrid,v0_expansion,1005,16,0.0,4000
v0_expansion,v1_knapsack_hybrid,1006,16,1.0,4000
v1_knapsack_hybrid,v0_expansion,1007,16,0.0,4000
v0_expansion,v4,1008,16,0.0,796
v4,v0_expansion,1009,16,0.0,787
v0_expansion,v4,1010,16,1.0,827
v4,v0_expansion,1011,16,0.0,4000
v0_expansion,v5_qubo,1012,16,1.0,763
v5_qubo,v0_expansion,1013,16,0.0,858
v0_expansion,v5_qubo,1014,16,0.0,856
v5_qubo,v0_expansion,1015,16,0.0,904
v0_expansion,v5_qubo_composite,1016,16,1.0,719
v5_qubo_composite,v0_expansion,1017,16,0.0,841
v0_expansion,v5_qubo_composite,1018,16,1.0,707
v5_qubo_composite,v0_expansion,1019,16,0.0,1061
v0_expansion,v6,1020,16,0.0,1256
v6,v0_expansion,1021,16,0.0,918
v0_expansion,v6,1022,16,0.0,1148
v6,v0_expansion,1023,16,0.0,1378
v0_expansion,v7,1024,16,1.0,1161
v7,v0_expansion,1025,16,0.0,800
v0_expansion,v7,1026,16,1.0,988
v7,v0_expansion,1027,16,0.0,1110
v0_expansion,v8,1028,16,0.0,908
v8,v0_expansion,1029,16,1.0,1741
v0_expansion,v8,1030,16,0.0,839
v8,v0_expansion,1031,16,1.0,573
v0_expansion,v9,1032,16,0.0,4000
v9,v0_expansion,1033,16,1.0,415
v0_expansion,v9,1034,16,0.0,1896
v9,v0_expansion,1035,16,1.0,634
v0_expansion,v10,1036,16,0.0,2860
v10,v0_expansion,1037,16,1.0,594
v0_expansion,v10,1038,16,0.0,1075
v10,v0_expansion,1039,16,0.0,838
v0_expansion,v11,1040,16,1.0,2487
v11,v0_expansion,1041,16,0.0,3458
v0_expansion,v11,1042,16,1.0,1061
v11,v0_expansion,1043,16,0.0,2611
v0_expansion,v12,1044,16,0.0,1448
v12,v0_expansion,1045,16,1.0,891
v0_expansion,v12,1046,16,0.0,1143
v12,v0_expansion,1047,16,1.0,664
v1_knapsack,v1_knapsack_hybrid,1048,16,0.0,4000
v1_knapsack_hybrid,v1_knapsack,1049,16,0.0,4000
v1_knapsack,v1_knapsack_hybrid,1050,16,1.0,4000
v1_knapsack_hybrid,v1_knapsack,1051,16,0.0,4000
v1_knapsack,v4,1052,16,0.0,1056
v4,v1_knapsack,1053,16,1.0,4000
v1_knapsack,v4,1054,16,0.0,1715
v4,v1_knapsack,1055,16,1.0,4000
v1_knapsack,v5_qubo,1056,16,0.0,702
v5_qubo,v1_knapsack,1057,16,1.0,4000
v1_knapsack,v5_qubo,1058,16,0.0,965
v5_qubo,v1_knapsack,1059,16,1.0,4000
v1_knapsack,v5_qubo_composite,1060,16,0.0,4000
v5_qubo_composite,v1_knapsack,1061,16,1.0,4000
v1_knapsack,v5_qubo_composite,1062,16,0.0,4000
v5_qubo_composite,v1_knapsack,1063,16,1.0,4000
v1_knapsack,v6,1064,16,0.0,1266
v6,v1_knapsack,1065,16,1.0,4000
v1_knapsack,v6,1066,16,0.0,4000
v6,v1_knapsack,1067,16,1.0,4000
v1_knapsack,v7,1068,16,0.0,4000
v7,v1_knapsack,1069,16,1.0,931
v1_knapsack,v7,1070,16,0.0,827
v7,v1_knapsack,1071,16,1.0,4000
v1_knapsack,v8,1072,16,0.0,1188
v8,v1_knapsack,1073,16,1.0,889
v1_knapsack,v8,1074,16,0.0,994
v8,v1_knapsack,1075,16,1.0,4000
v1_knapsack,v9,1076,16,0.0,4974
v9,v1_knapsack,1077,16,1.0,2503
v1_knapsack,v9,1078,16,0.0,1355
v9,v1_knapsack,1079,16,1.0,1058
v1_knapsack,v10,1080,16,0.0,4000
v10,v1_knapsack,1081,16,1.0,4000
v1_knapsack,v10,1082,16,0.0,1671
v10,v1_knapsack,1083,16,1.0,970
v1_knapsack,v11,1084,16,0.0,4000
v11,v1_knapsack,1085,16,1.0,4000
v1_knapsack,v11,1086,16,0.0,4000
v11,v1_knapsack,1087,16,1.0,4000
v1_knapsack,v12,1088,16,0.0,4000
v12,v1_knapsack,1089,16,1.0,565
v1_knapsack,v12,1090,16,0.0,1235
v12,v1_knapsack,1091,16,1.0,627
v1_knapsack_hybrid,v4,1092,16,0.0,4000
v4,v1_knapsack_hybrid,1093,16,1.0,4000
v1_knapsack_hybrid,v4,1094,16,0.0,834
v4,v1_knapsack_hybrid,1095,16,1.0,4000
v1_knapsack_hybrid,v5_qubo,1096,16,0.0,837
v5_qubo,v1_knapsack_hybrid,1097,16,1.0,4000
v1_knapsack_hybrid,v5_qubo,1098,16,0.0,4000
v5_qubo,v1_knapsack_hybrid,1099,16,1.0,4000
v1_knapsack_hybrid,v5_qubo_composite,1100,16,0.0,4000
v5_qubo_composite,v1_knapsack_hybrid,1101,16,1.0,4000
v1_knapsack_hybrid,v5_qubo_composite,1102,16,0.0,4000
v5_qubo_composite,v1_knapsack_hybrid,1103,16,1.0,1083
v1_knapsack_hybrid,v6,1104,16,0.0,1116
v6,v1_knapsack_hybrid,1105,16,1.0,4000
v1_knapsack_hybrid,v6,1106,16,0.0,4000
v6,v1_knapsack_hybrid,1107,16,1.0,4000
v1_knapsack_hybrid,v7,1108,16,0.0,4000
v7,v1_knapsack_hybrid,1109,16,1.0,4000
v1_knapsack_hybrid,v7,1110,16,0.0,897
v7,v1_knapsack_hybrid,1111,16,1.0,4000
v1_knapsack_hybrid,v8,1112,16,0.0,1213
v8,v1_knapsack_hybrid,1113,16,1.0,4000
v1_knapsack_hybrid,v8,1114,16,0.0,808
v8,v1_knapsack_hybrid,1115,16,1.0,658
v1_knapsack_hybrid,v9,1116,16,0.0,4000
v9,v1_knapsack_hybrid,1117,16,1.0,397
v1_knapsack_hybrid,v9,1118,16,0.0,3348
v9,v1_knapsack_hybrid,1119,16,1.0,589
v1_knapsack_hybrid,v10,1120,16,0.0,3790
v10,v1_knapsack_hybrid,1121,16,1.0,4000
v1_knapsack_hybrid,v10,1122,16,0.0,2089
v10,v1_knapsack_hybrid,1123,16,1.0,1085
v1_knapsack_hybrid,v11,1124,16,0.0,4000
v11,v1_knapsack_hybrid,1125,16,1.0,4000
v1_knapsack_hybrid,v11,1126,16,0.0,4000
v11,v1_knapsack_hybrid,1127,16,1.0,4000
v1_knapsack_hybrid,v12,1128,16,0.0,1108
v12,v1_knapsack_hybrid,1129,16,1.0,607
v1_knapsack_hybrid,v12,1130,16,0.0,1513
v12,v1_knapsack_hybrid,1131,16,1.0,459
v4,v5_qubo,1132,16,0.0,731
v5_qubo,v4,1133,16,0.0,744
v4,v5_qubo,1134,16,1.0,922
v5_qubo,v4,1135,16,1.0,997
v4,v5_qubo_composite,1136,16,1.0,1246
v5_qubo_composite,v4,1137,16,1.0,799
v4,v5_qubo_composite,1138,16,0.0,880
